ID,Date,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,BikeRides,Holiday,Month,Weekday
0,01/01/2015,0.0,0.0,8.3,-2.7,1.7,3.7,2611,1,1,3
1,02/01/2015,0.0,0.0,9.4,1.7,5.3,1.3,5155,0,1,4
2,03/01/2015,12.7,0.0,5.6,1.1,4.0,1.5,1718,0,1,5
3,04/01/2015,5.1,0.0,19.4,5.6,,5.6,3711,0,1,6
4,05/01/2015,0.0,0.0,11.1,-1.6,7.8,6.4,5262,0,1,0
5,06/01/2015,5.1,61.0,0.0,-4.3,-1.9,2.2,2086,0,1,1
6,07/01/2015,0.0,0.0,-1.0,-9.3,-3.0,6.8,3063,0,1,2
7,08/01/2015,0.0,0.0,-3.2,-11.0,-8.2,5.1,2976,0,1,3
8,09/01/2015,0.0,0.0,5.6,-3.2,-0.6,5.5,4237,0,1,4
9,10/01/2015,0.0,0.0,-1.0,-7.1,-3.2,3.5,2694,0,1,5
10,11/01/2015,0.0,0.0,6.1,-6.0,-1.7,2.2,3486,0,1,6
11,12/01/2015,19.1,0.0,6.1,1.7,2.9,1.8,2168,0,1,0
12,13/01/2015,0.0,0.0,5.6,-1.6,3.1,5.4,5520,0,1,1
13,14/01/2015,0.0,5.0,0.6,-3.2,-1.2,3.6,4598,0,1,2
14,15/01/2015,0.0,0.0,5.6,0.0,1.5,2.6,5812,0,1,3
15,16/01/2015,0.0,0.0,8.9,-2.7,2.7,4.3,5729,0,1,4
16,17/01/2015,0.0,0.0,4.4,-2.1,1.5,4.0,4265,0,1,5
17,18/01/2015,15.2,0.0,7.2,1.1,3.2,2.2,2548,0,1,6
18,19/01/2015,0.0,0.0,10.0,0.6,6.6,2.8,4687,1,1,0
19,20/01/2015,0.0,0.0,10.0,-0.5,3.7,0.9,6316,0,1,1
20,21/01/2015,2.0,10.0,3.9,1.1,2.7,2.0,5402,0,1,2
21,22/01/2015,0.0,0.0,9.4,2.2,4.3,3.7,6424,0,1,3
22,23/01/2015,16.5,0.0,6.1,-0.5,3.4,2.3,4774,0,1,4
23,24/01/2015,12.2,0.0,7.2,2.8,3.8,4.3,3504,0,1,5
24,25/01/2015,0.0,0.0,11.1,2.2,6.4,2.7,5210,0,1,6
25,26/01/2015,5.3,13.0,7.8,-1.6,4.6,5.9,2448,0,1,0
26,27/01/2015,0.3,3.0,2.8,-1.0,0.2,6.6,4102,0,1,1
27,28/01/2015,0.0,0.0,3.9,-4.3,-0.6,6.0,5131,0,1,2
28,29/01/2015,1.3,0.0,4.4,-3.2,0.1,2.6,4679,0,1,3
29,30/01/2015,0.0,0.0,6.1,-4.9,4.0,6.9,4905,0,1,4
30,31/01/2015,0.0,0.0,2.2,-6.6,-2.9,4.3,3371,0,1,5
31,01/02/2015,1.0,0.0,6.7,-2.7,0.8,1.8,3621,0,2,6
32,02/02/2015,2.3,0.0,10.0,-2.7,4.6,5.5,3911,0,2,0
33,03/02/2015,0.0,0.0,3.9,-3.8,-1.4,4.2,5162,0,2,1
34,04/02/2015,0.0,0.0,12.8,-1.6,2.9,3.9,6138,0,2,2
35,05/02/2015,0.0,0.0,6.7,-6.0,3.7,7.5,5076,0,2,3
36,06/02/2015,0.0,0.0,3.3,-8.2,-3.6,3.2,5006,0,2,4
37,07/02/2015,0.0,0.0,10.0,-3.2,2.3,1.7,5036,0,2,5
38,08/02/2015,0.0,0.0,20.0,1.7,6.9,2.1,6829,0,2,6
39,09/02/2015,1.8,0.0,7.2,1.1,5.3,4.7,5017,0,2,0
40,10/02/2015,0.5,0.0,4.4,0.6,2.0,6.8,5768,0,2,1
41,11/02/2015,0.0,0.0,8.3,-1.6,2.4,3.4,6708,0,2,2
42,12/02/2015,0.0,0.0,6.7,-6.6,2.9,5.9,5509,0,2,3
43,13/02/2015,0.0,0.0,-1.0,-9.3,-5.1,5.8,4078,0,2,4
44,14/02/2015,0.0,3.0,7.2,-7.7,-0.7,6.0,3004,0,2,5
45,15/02/2015,0.0,0.0,-5.5,-11.6,-7.3,9.8,1055,0,2,6
46,16/02/2015,7.4,74.0,-6.6,-12.1,-9.8,3.4,1335,1,2,0
47,17/02/2015,5.8,46.0,-0.5,-8.2,-6.3,2.6,1198,0,2,1
48,18/02/2015,0.0,3.0,1.1,-10.5,-4.2,3.5,3183,0,2,2
49,19/02/2015,0.0,3.0,-6.0,-11.6,-7.0,7.3,2720,0,2,3
50,20/02/2015,0.0,0.0,-5.5,-14.9,-10.6,3.9,2517,0,2,4
51,21/02/2015,17.8,66.0,1.7,-9.9,-6.8,4.4,758,0,2,5
52,22/02/2015,2.5,0.0,10.0,1.7,3.7,1.5,2021,0,2,6
53,23/02/2015,0.0,0.0,5.0,-7.1,2.1,6.6,3655,0,2,0
54,24/02/2015,0.0,0.0,-1.0,-9.9,-5.8,3.8,3921,0,2,1
55,25/02/2015,0.0,0.0,5.6,-6.0,-1.4,1.9,5016,0,2,2
56,26/02/2015,3.6,56.0,3.9,-0.5,1.9,3.1,3531,0,2,3
57,27/02/2015,0.0,0.0,1.7,-3.8,0.7,4.6,4699,0,2,4
58,28/02/2015,0.0,0.0,0.6,-6.6,-3.2,2.3,3294,0,2,5
59,01/03/2015,13.0,3.0,1.1,-4.3,-1.9,2.5,802,0,3,6
60,02/03/2015,0.0,0.0,7.8,0.6,3.2,4.2,4118,0,3,0
61,03/03/2015,1.0,0.0,5.0,-0.5,1.0,4.1,3884,0,3,1
62,04/03/2015,8.6,0.0,10.6,3.9,5.7,2.6,4187,0,3,2
63,05/03/2015,22.1,122.0,7.2,-4.9,3.5,5.7,560,0,3,3
64,06/03/2015,0.0,0.0,-1.0,-9.3,-4.9,3.3,1987,0,3,4
65,07/03/2015,0.0,0.0,9.4,-7.1,-1.2,3.5,3271,0,3,5
66,08/03/2015,0.0,0.0,15.0,0.0,7.9,2.6,5529,0,3,6
67,09/03/2015,0.0,0.0,16.7,2.8,8.4,1.3,8175,0,3,0
68,10/03/2015,11.2,0.0,10.0,3.9,7.7,1.6,4015,0,3,1
69,11/03/2015,0.0,0.0,19.4,7.8,11.8,2.8,7909,0,3,2
70,12/03/2015,0.0,0.0,15.6,6.1,11.3,4.0,9215,0,3,3
71,13/03/2015,0.3,0.0,12.8,2.8,8.1,2.2,8084,0,3,4
72,14/03/2015,15.2,0.0,15.6,7.2,9.7,3.6,3669,0,3,5
73,15/03/2015,0.0,0.0,14.4,6.7,11.7,5.7,6668,0,3,6
74,16/03/2015,0.0,0.0,20.6,3.3,9.8,1.6,9022,0,3,0
75,17/03/2015,0.0,0.0,22.8,4.4,14.0,6.5,9246,0,3,1
76,18/03/2015,0.0,0.0,11.7,2.2,6.6,4.7,7527,0,3,2
77,19/03/2015,0.0,0.0,11.7,3.9,7.8,1.9,8202,0,3,3
78,20/03/2015,12.4,0.0,7.8,2.2,4.7,3.8,2956,0,3,4
79,21/03/2015,0.0,0.0,16.1,1.7,6.7,2.7,9436,0,3,5
80,22/03/2015,0.0,0.0,13.3,7.2,10.8,5.1,8233,0,3,6
81,23/03/2015,0.0,0.0,10.6,,6.8,3.6,8134,0,3,0
82,24/03/2015,0.0,0.0,8.3,2.8,6.0,2.6,7875,0,3,1
83,25/03/2015,0.0,0.0,12.2,1.7,5.8,2.1,7553,0,3,2
84,26/03/2015,8.9,0.0,25.0,9.4,13.9,4.7,8778,0,3,3
85,27/03/2015,9.1,0.0,11.1,5.0,10.7,5.2,6141,0,3,4
86,28/03/2015,0.0,0.0,5.6,-0.5,3.7,7.1,4676,0,3,5
87,29/03/2015,0.0,0.0,9.4,-2.1,2.1,4.4,5861,0,3,6
88,30/03/2015,0.5,0.0,18.9,5.6,10.4,5.0,9196,0,3,0
89,31/03/2015,0.3,0.0,22.8,6.1,14.0,6.3,8198,0,3,1
90,01/04/2015,0.0,0.0,16.1,4.4,10.1,3.8,9874,0,4,2
91,02/04/2015,0.0,0.0,23.3,5.6,13.4,7.0,11273,0,4,3
92,03/04/2015,4.8,0.0,22.8,16.1,19.2,5.5,6425,0,4,4
93,04/04/2015,1.3,0.0,20.0,7.2,16.3,6.2,10433,0,4,5
94,05/04/2015,0.0,0.0,20.6,4.4,12.6,4.9,10181,0,4,6
95,06/04/2015,0.0,0.0,25.0,8.9,16.3,4.8,12638,0,4,0
96,07/04/2015,4.3,0.0,22.8,11.7,18.9,3.6,11109,0,4,1
97,08/04/2015,3.3,0.0,11.7,7.2,11.8,5.0,7437,0,4,2
98,09/04/2015,1.0,0.0,10.0,7.2,8.3,3.7,7826,0,4,3
99,10/04/2015,0.3,0.0,20.0,7.2,10.3,3.1,9393,0,4,4
100,11/04/2015,0.0,0.0,20.0,10.6,17.1,4.9,16726,0,4,5
101,12/04/2015,0.0,0.0,21.1,6.1,14.6,2.2,15724,0,4,6
102,13/04/2015,0.0,0.0,26.7,11.1,17.6,5.4,12676,0,4,0
103,14/04/2015,16.3,0.0,19.4,12.2,17.4,3.4,3824,0,4,1
104,15/04/2015,0.0,0.0,20.0,11.1,15.2,3.1,11119,0,4,2
105,16/04/2015,1.0,0.0,23.3,11.1,16.9,2.8,11687,1,4,3
106,17/04/2015,0.8,0.0,26.1,15.0,19.2,2.6,12546,0,4,4
107,18/04/2015,0.0,0.0,128.9,16.1,21.9,1.7,16004,0,4,5
108,19/04/2015,9.4,0.0,20.6,12.8,19.0,6.0,10250,0,4,6
109,20/04/2015,19.6,0.0,27.8,13.9,19.5,5.2,9066,0,4,0
110,21/04/2015,4.1,0.0,21.7,12.2,18.3,5.1,11630,0,4,1
111,22/04/2015,0.0,0.0,23.3,10.6,15.8,5.3,10540,0,4,2
112,23/04/2015,0.0,0.0,15.6,7.2,12.0,5.5,10106,0,4,3
113,24/04/2015,0.0,0.0,17.2,3.9,10.3,5.7,10370,0,4,4
114,25/04/2015,6.9,0.0,11.7,7.2,10.6,2.8,7177,0,4,5
115,26/04/2015,0.0,0.0,19.4,7.2,11.6,2.1,10327,0,4,6
116,27/04/2015,0.0,0.0,16.7,8.3,13.3,5.5,8864,0,4,0
117,28/04/2015,0.0,0.0,22.2,8.9,14.6,5.2,10995,0,4,1
118,29/04/2015,0.0,0.0,25.6,11.1,18.6,1.8,11652,0,4,2
119,30/04/2015,13.7,0.0,23.3,13.3,18.3,2.9,10255,0,4,3
120,01/05/2015,2.8,0.0,17.8,12.2,15.1,3.2,10351,0,5,4
121,02/05/2015,0.0,0.0,25.6,10.6,16.7,2.2,12570,0,5,5
122,03/05/2015,0.0,0.0,28.9,13.3,20.3,2.1,12098,0,5,6
123,04/05/2015,0.0,0.0,28.9,13.3,21.4,4.3,11987,0,5,0
124,05/05/2015,1.3,0.0,30.0,17.8,22.9,3.1,11093,0,5,1
125,06/05/2015,0.0,0.0,28.3,17.8,22.3,2.4,11483,0,5,2
126,07/05/2015,0.0,0.0,27.2,16.7,21.9,2.5,12316,0,5,3
127,08/05/2015,0.0,0.0,28.9,17.8,22.9,2.1,13427,0,5,4
128,09/05/2015,0.0,0.0,28.3,18.3,22.6,2.9,112841,0,5,5
129,10/05/2015,0.0,0.0,29.4,20.6,24.6,3.0,11089,0,5,6
130,11/05/2015,0.0,0.0,28.3,21.7,24.4,2.2,12133,0,5,0
131,12/05/2015,0.0,0.0,32.2,21.7,26.0,4.7,12056,0,5,1
132,13/05/2015,0.0,0.0,22.2,13.3,20.7,7.0,11774,0,5,2
133,14/05/2015,0.0,0.0,22.8,11.7,16.6,3.2,12615,0,5,3
134,15/05/2015,0.0,0.0,25.6,14.4,19.1,4.5,13641,0,5,4
135,16/05/2015,16.8,0.0,31.1,19.4,23.4,3.5,11196,0,5,5
136,17/05/2015,0.0,0.0,30.6,21.1,24.3,2.0,10933,0,5,6
137,18/05/2015,19.3,0.0,33.3,22.2,27.2,2.2,10442,0,5,0
138,19/05/2015,0.0,0.0,32.2,22.2,26.6,2.7,12063,0,5,1
139,20/05/2015,0.0,0.0,23.9,16.7,22.2,6.6,12981,0,5,2
140,21/05/2015,8.4,0.0,17.2,11.7,15.3,3.2,6981,0,5,3
141,22/05/2015,0.0,0.0,26.1,11.1,17.2,4.7,12522,0,5,4
142,23/05/2015,0.0,0.0,23.9,12.2,19.1,3.5,12706,0,5,5
143,24/05/2015,0.0,0.0,27.8,13.9,20.4,3.6,13564,0,5,6
144,25/05/2015,0.0,0.0,29.4,19.4,24.4,5.2,11990,1,5,0
145,26/05/2015,0.0,0.0,31.1,20.6,25.3,4.9,11351,0,5,1
146,27/05/2015,0.3,0.0,32.2,23.9,26.5,3.9,11470,0,5,2
147,28/05/2015,0.0,0.0,33.3,22.8,26.9,2.8,11625,0,5,3
148,29/05/2015,0.0,0.0,30.6,23.3,25.9,3.4,12058,0,5,4
149,30/05/2015,0.0,0.0,32.2,22.2,26.7,4.9,12657,0,5,5
150,31/05/2015,0.0,0.0,33.3,23.3,27.3,5.3,10917,0,5,6
151,01/06/2015,63.2,0.0,33.3,21.7,27.2,3.7,8101,0,6,0
152,02/06/2015,11.7,0.0,22.2,15.6,20.0,4.8,8054,0,6,1
153,03/06/2015,0.3,0.0,17.8,15.0,16.2,4.7,9879,0,6,2
154,04/06/2015,9.4,0.0,18.3,15.0,16.8,4.3,6356,0,6,3
155,05/06/2015,0.8,0.0,23.9,15.6,18.2,2.2,11075,0,6,4
156,06/06/2015,0.0,0.0,29.4,18.3,22.9,4.0,12665,0,6,5
157,07/06/2015,0.0,0.0,26.1,19.4,23.2,4.1,11661,0,6,6
158,08/06/2015,16.5,0.0,31.1,18.3,23.6,5.7,9959,0,6,0
159,09/06/2015,0.0,0.0,31.7,22.2,25.9,5.2,11764,0,6,1
160,10/06/2015,0.0,0.0,28.9,20.0,25.6,3.2,11586,0,6,2
161,11/06/2015,0.0,0.0,33.9,21.7,26.8,3.5,11844,0,6,3
162,12/06/2015,0.5,0.0,34.4,25.0,29.3,4.3,10867,0,6,4
163,13/06/2015,0.0,0.0,33.3,23.9,28.3,2.7,11754,0,6,5
164,14/06/2015,13.2,0.0,33.9,25.6,29.5,2.2,9490,0,6,6
165,15/06/2015,2.0,0.0,33.9,25.6,28.6,2.7,9975,0,6,0
166,16/06/2015,0.0,0.0,35.6,25.0,29.8,4.1,11492,0,6,1
167,17/06/2015,4.6,0.0,28.9,23.3,26.8,2.2,11173,0,6,2
168,18/06/2015,13.5,0.0,32.8,22.2,25.8,2.8,9990,0,6,3
169,19/06/2015,3.0,0.0,31.7,22.8,26.9,3.1,12019,0,6,4
170,20/06/2015,60.2,0.0,33.3,23.3,27.9,2.9,9305,0,6,5
171,21/06/2015,0.8,0.0,34.4,24.4,28.2,4.1,8775,0,6,6
172,22/06/2015,0.0,0.0,34.4,25.6,30.4,3.4,11258,0,6,0
173,23/06/2015,21.3,0.0,35.6,23.9,30.3,4.7,9184,0,6,1
174,24/06/2015,0.0,0.0,30.0,21.1,25.5,3.8,12581,0,6,2
175,25/06/2015,12.2,0.0,30.6,21.1,26.4,2.6,11119,0,6,3
176,26/06/2015,0.0,0.0,28.3,20.6,24.4,2.6,13027,0,6,4
177,27/06/2015,69.9,0.0,25.6,20.6,23.2,4.7,3301,0,6,5
178,28/06/2015,0.0,0.0,27.8,19.4,23.1,3.8,11601,0,6,6
179,29/06/2015,0.0,0.0,28.9,17.2,23.6,3.4,12191,0,6,0
180,30/06/2015,0.3,0.0,31.7,21.7,25.8,4.0,11970,0,6,1
181,01/07/2015,33.0,0.0,31.1,20.6,25.7,3.1,11223,0,7,2
182,02/07/2015,0.5,0.0,25.0,20.0,23.9,1.9,11257,0,7,3
183,03/07/2015,0.8,0.0,28.3,18.9,23.6,1.7,12791,1,7,4
184,04/07/2015,21.6,0.0,29.4,22.2,24.2,1.4,10288,1,7,5
185,05/07/2015,0.0,0.0,30.6,21.7,25.1,1.7,12199,0,7,6
186,06/07/2015,0.5,0.0,31.7,24.4,27.2,3.2,10902,0,7,0
187,07/07/2015,0.0,0.0,32.8,23.9,27.6,3.7,12223,0,7,1
188,08/07/2015,28.4,0.0,33.3,25.6,28.1,3.6,9495,0,7,2
189,09/07/2015,0.8,0.0,33.3,25.6,28.4,3.3,11045,0,7,3
190,10/07/2015,0.0,0.0,31.1,25.0,28.4,4.3,13013,0,7,4
191,11/07/2015,2.3,0.0,31.1,23.9,27.2,2.2,12420,0,7,5
192,12/07/2015,0.0,0.0,31.1,21.1,26.6,2.0,11711,0,7,6
193,13/07/2015,0.8,0.0,27.8,23.3,25.7,2.0,10224,0,7,0
194,14/07/2015,0.0,0.0,31.7,24.4,27.1,3.2,11591,0,7,1
195,15/07/2015,0.3,0.0,31.1,22.2,27.3,4.8,12088,0,7,2
196,16/07/2015,0.0,0.0,30.6,18.9,24.6,3.0,13257,0,7,3
197,17/07/2015,0.0,0.0,29.4,21.7,25.1,3.7,12627,0,7,4
198,18/07/2015,1.0,0.0,31.1,25.0,27.3,3.5,11096,0,7,5
199,19/07/2015,0.0,0.0,36.7,26.1,30.0,2.6,10148,0,7,6
200,20/07/2015,0.0,0.0,36.1,27.8,31.6,3.1,10856,0,7,0
201,21/07/2015,0.0,0.0,33.3,26.1,30.9,3.0,11811,0,7,1
202,22/07/2015,0.0,0.0,31.7,22.2,27.6,4.2,12934,0,7,2
203,23/07/2015,0.0,0.0,31.1,21.7,26.7,2.9,12992,0,7,3
204,24/07/2015,0.0,0.0,32.2,20.6,26.9,3.0,13339,0,7,4
205,25/07/2015,0.0,0.0,32.2,22.2,27.3,3.3,12902,0,7,5
206,26/07/2015,0.0,0.0,32.8,23.3,27.9,5.1,11314,0,7,6
207,27/07/2015,23.9,0.0,32.2,22.8,27.7,2.6,10919,0,7,0
208,28/07/2015,0.0,0.0,34.4,25.0,28.6,1.9,11976,0,7,1
209,29/07/2015,0.0,0.0,33.3,25.6,28.6,3.8,12170,0,7,2
210,30/07/2015,13.5,0.0,33.3,25.6,28.6,3.6,10808,0,7,3
211,31/07/2015,0.0,0.0,33.3,23.3,28.7,3.5,12396,0,7,4
212,01/08/2015,0.0,0.0,33.3,23.3,28.4,3.1,12043,0,8,5
213,02/08/2015,0.0,0.0,32.8,22.8,27.9,2.9,11447,0,8,6
214,03/08/2015,0.0,0.0,33.9,22.2,27.7,4.3,12085,0,8,0
215,04/08/2015,1.0,0.0,35.6,24.4,29.9,3.3,11626,0,8,1
216,05/08/2015,0.0,0.0,33.9,23.9,28.6,2.8,12501,0,8,2
217,06/08/2015,0.0,0.0,29.4,23.9,27.2,3.4,12617,0,8,3
218,07/08/2015,1.3,0.0,28.3,21.1,24.8,3.8,12181,0,8,4
219,08/08/2015,0.0,0.0,31.1,23.3,26.7,3.7,12970,0,8,5
220,09/08/2015,0.0,0.0,31.7,22.2,26.4,3.3,11651,0,8,6
221,10/08/2015,3.8,0.0,26.1,22.2,24.6,4.7,10494,0,8,0
222,11/08/2015,8.6,0.0,32.2,22.8,25.9,-4.1,11342,0,8,1
223,12/08/2015,0.0,0.0,29.4,21.1,25.9,4.7,12485,0,8,2
224,13/08/2015,,0.0,29.4,20.0,24.8,2.9,12435,0,8,3
225,14/08/2015,0.0,0.0,31.1,17.8,24.4,2.0,12549,0,8,4
226,15/08/2015,0.0,0.0,32.2,20.0,25.3,3.4,12082,0,8,5
227,16/08/2015,0.0,0.0,34.4,20.6,26.1,3.1,10192,0,8,6
228,17/08/2015,0.0,0.0,35.6,22.2,27.7,3.6,10971,0,8,0
229,18/08/2015,0.0,0.0,32.2,23.3,27.4,2.9,11595,0,8,1
230,19/08/2015,0.0,0.0,32.8,25.0,27.6,4.3,11966,0,8,2
231,20/08/2015,4.3,0.0,30.0,23.3,26.9,3.5,10192,0,8,3
232,21/08/2015,0.0,0.0,30.0,21.7,25.3,4.1,12902,0,8,4
233,22/08/2015,0.0,0.0,30.0,18.3,24.4,2.7,12339,0,8,5
234,23/08/2015,0.0,0.0,29.4,17.8,23.9,2.3,10981,0,8,6
235,24/08/2015,10.4,0.0,32.8,21.7,26.1,3.2,10283,0,8,0
236,25/08/2015,0.0,0.0,29.4,20.6,24.9,3.7,12672,0,8,1
237,26/08/2015,0.0,0.0,27.8,19.4,23.3,3.5,12330,0,8,2
238,27/08/2015,0.0,0.0,27.8,17.2,22.6,3.0,12406,0,8,3
239,28/08/2015,0.0,0.0,28.3,18.3,23.4,1.8,12210,0,8,4
240,29/08/2015,0.0,0.0,31.7,19.4,25.1,4.3,11526,0,8,5
241,30/08/2015,0.0,0.0,30.6,20.6,24.8,3.4,10188,0,8,6
242,31/08/2015,0.0,0.0,31.1,23.3,26.8,3.6,11052,0,8,0
